_id,CRASH_CRN,MUNICIPALITY,POLICE_AGCY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,BUS_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MAX_SEVERITY_LEVEL,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG
216760,2022002230,2438,2438,2022,1,5,0,0,0,0,0,0,0,0,0,40 24:31.182,79 54:44.936,40.4087,-79.9125
216761,2022002234,2301,2301,2022,1,6,0,0,0,0,0,0,0,2,3,40 25:36.600,79 59:38.000,40.4268,-79.9939
216762,2022002238,2116,2116,2022,1,4,0,0,0,1,0,0,0,0,0,40 32:58.108,80 01:07.548,40.5495,-80.0188
216763,2022002239,2473,2473,2022,1,4,0,0,1,0,0,0,0,0,0,40 22:07.185,79 55:44.715,40.3687,-79.9291
216764,2022002240,2473,2473,2022,1,5,0,0,0,0,0,0,0,0,0,40 20:25.631,79 53:36.920,40.3405,-79.8936
216765,2022002243,2481,2481,2022,1,7,0,1,0,1,0,0,0,0,0,40 36:56.450,80 05:39.065,40.6157,-80.0942
216766,2022002244,2481,2481,2022,1,6,0,0,0,2,0,0,0,1,3,40 36:44.391,80 04:37.304,40.6123,-80.077
216767,2022002274,2212,2505,2022,1,5,0,1,0,0,0,0,0,1,4,40 40:21.806,80 06:50.713,40.6727,-80.1141
216768,2022002280,2451,2451,2022,1,6,0,0,0,0,0,0,0,0,0,40 31:18.750,79 50:32.028,40.5219,-79.8422
216769,2022002287,2402,2402,2022,1,5,0,0,0,0,0,0,0,0,0,40 30:08.463,80 04:22.166,40.5024,-80.0728
216770,2022002289,2446,2446,2022,1,7,0,0,0,0,0,0,0,3,2,40 23:39.796,79 47:53.649,40.3944,-79.7982
216771,2022002293,2301,2301,2022,1,6,0,0,0,0,0,0,0,1,4,40 25:45.044,79 55:16.366,40.4292,-79.9212
216772,2022002294,2111,2111,2022,1,5,0,0,0,1,0,0,0,0,0,40 21:57.096,79 48:54.423,40.3659,-79.8151
216773,2022002301,2402,2402,2022,1,5,0,0,0,1,0,0,0,0,0,40 30:02.009,80 03:42.944,40.5006,-80.0619
216774,2022002344,2203,2203,2022,1,5,0,0,0,0,0,0,0,0,9,40 29:23.991,80 17:45.629,40.49,-80.296
216775,2022002364,2301,2301,2022,1,6,0,0,0,2,0,0,0,1,3,40 28:24.200,80 00:49.600,40.4734,-80.0138
216776,2022002366,2215,2215,2022,1,6,0,0,0,1,0,0,0,0,0,40 31:50.880,80 04:11.667,40.5307,-80.0697
216777,2022002367,2118,2118,2022,1,5,0,0,0,0,0,0,0,0,0,40 30:09.087,79 58:25.107,40.5025,-79.9736
216778,2022002371,2301,2301,2022,1,5,0,1,0,0,0,0,0,0,0,40 27:16.235,79 57:13.306,40.4545,-79.9537
216779,2022002373,2301,2301,2022,1,6,0,0,0,1,0,0,0,2,4,40 25:38.700,79 56:00.700,40.4274,-79.9335
216780,2022002374,2217,2505,2022,1,6,0,1,0,1,0,0,0,0,0,40 37:13.306,79 58:05.406,40.6204,-79.9682
216781,2022002378,2304,2304,2022,1,5,0,0,0,1,0,0,0,0,9,40 20:49.768,79 50:36.479,40.3472,-79.8435
216782,2022002379,2118,2118,2022,1,5,0,0,0,0,0,0,0,0,0,40 28:47.140,79 58:07.737,40.4798,-79.9688
216783,2022002381,2301,2301,2022,1,6,0,0,0,1,0,0,0,2,4,40 27:14.672,79 59:48.532,40.4541,-79.9968
216784,2022002382,2301,2301,2022,1,7,0,0,0,0,0,0,0,0,9,40 28:07.608,79 53:45.877,40.4688,-79.8961
216785,2022002383,2111,2111,2022,1,6,0,0,0,1,0,0,0,0,0,40 23:10.927,79 49:46.368,40.3864,-79.8295
216786,2022002384,2301,2301,2022,1,6,0,1,0,0,0,0,0,1,3,40 27:29.600,79 52:17.000,40.4582,-79.8714
216787,2022002386,2112,2112,2022,1,5,0,0,0,1,0,0,0,0,0,40 30:27.313,79 51:09.953,40.5076,-79.8528
216788,2022002387,2301,2301,2022,1,6,0,0,0,0,0,0,0,0,0,40 26:47.551,79 57:06.922,40.4465,-79.9519
216789,2022002389,2301,2301,2022,1,6,0,0,0,1,0,0,0,0,0,40 23:18.913,79 59:48.335,40.3886,-79.9968
216790,2022002401,2217,2505,2022,1,7,0,0,0,0,0,0,0,0,0,40 40:14.469,79 59:04.468,40.6707,-79.9846
216791,2022002404,2473,2473,2022,1,3,0,0,0,1,0,0,0,2,3,40 22:58.532,79 52:40.519,40.3829,-79.8779
216792,2022002405,2304,2304,2022,1,6,0,1,0,2,0,0,0,0,0,40 21:22.813,79 50:17.070,40.3563,-79.8381
216793,2022002406,2301,2301,2022,1,7,0,1,0,0,0,0,0,0,0,40 26:52.806,80 00:21.262,40.448,-80.0059
216794,2022002409,2414,2414,2022,1,6,0,0,0,1,0,0,0,1,3,40 21:32.918,80 06:34.639,40.3591,-80.1096
216795,2022002421,2109,2109,2022,1,4,0,0,0,1,0,0,0,0,0,40 21:19.961,80 02:49.236,40.3555,-80.047
216796,2022002422,2109,2109,2022,1,5,0,1,0,0,0,0,0,0,0,40 21:17.635,80 02:08.087,40.3549,-80.0356
216797,2022002458,2119,2119,2022,1,6,0,0,0,1,0,0,0,1,4,40 21:23.069,80 07:08.844,40.3564,-80.1191
216798,2022002460,2301,2301,2022,1,7,0,0,0,1,0,0,0,0,0,40 26:37.372,79 58:58.889,40.4437,-79.983
216799,2022002467,2301,2301,2022,1,4,0,0,0,0,0,0,0,0,0,40 27:09.180,79 58:49.517,40.4526,-79.9804
216800,2022002473,2116,2116,2022,1,1,0,0,0,2,0,0,0,0,0,40 32:10.935,80 00:38.998,40.5364,-80.0108
216801,2022002475,2115,2115,2022,1,6,0,0,0,1,0,0,0,0,0,40 26:23.308,80 09:08.810,40.4398,-80.1524
216802,2022002483,2125,2215,2022,1,7,0,0,0,0,0,0,0,0,0,40 32:10.876,80 09:41.227,40.5364,-80.1615
216803,2022002485,2423,2304,2022,1,6,0,0,0,1,0,0,0,3,4,40 21:00.121,79 53:38.830,40.3501,-79.894
216804,2022002487,2446,2446,2022,1,6,0,0,0,1,0,0,0,0,0,40 23:21.701,79 45:13.072,40.3894,-79.7536
216805,2022002494,2301,2301,2022,1,7,0,1,0,1,0,0,0,1,3,40 23:24.900,79 58:57.700,40.3903,-79.9827
216806,2022002500,2301,2301,2022,1,7,0,0,0,0,0,0,0,0,0,40 26:00.664,79 55:06.805,40.4335,-79.9186
216807,2022002503,2115,2115,2022,1,4,0,1,0,0,0,0,0,1,8,40 26:51.233,80 09:53.666,40.4476,-80.1649
216808,2022002504,2301,2301,2022,1,7,0,0,0,2,0,0,0,0,0,40 25:58.104,80 00:28.512,40.4328,-80.0079
216809,2022002527,2466,68T02,2022,1,5,0,0,0,1,0,0,0,0,0,40 29:03.381,79 46:25.883,40.4841,-79.7735
216810,2022002528,2466,68T02,2022,1,5,0,0,0,0,0,0,0,0,0,40 31:01.077,79 48:02.913,40.5167,-79.8005
216811,2022002532,2207,68T02,2022,1,6,0,0,0,0,0,0,0,0,0,40 36:32.313,79 56:49.502,40.6088,-79.9466
216812,2022002541,2301,2301,2022,1,7,0,0,0,1,0,0,0,0,0,40 23:46.484,79 59:53.264,40.3962,-79.9981
216813,2022002544,2111,2111,2022,1,7,0,1,0,0,0,0,0,0,0,40 21:48.000,79 49:44.000,40.3633,-79.8289
216814,2022002546,2301,2301,2022,1,6,0,0,0,1,0,0,0,1,3,40 23:57.084,80 01:30.271,40.3992,-80.025
216815,2022002549,2208,2208,2022,1,7,0,0,0,0,0,0,0,0,0,40 33:20.444,79 48:46.558,40.5556,-79.8112
216816,2022002553,2119,2119,2022,1,6,0,0,0,1,0,0,0,1,4,40 21:57.500,80 07:15.800,40.366,-80.1211
216817,2022002555,2419,2419,2022,1,7,0,0,0,2,0,0,0,0,0,40 26:18.638,79 49:52.207,40.4385,-79.8312
216818,2022002557,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 24:00.372,80 01:24.968,40.4001,-80.0236
216819,2022002568,2217,2505,2022,1,6,0,0,0,0,0,0,0,1,8,40 38:33.600,79 56:15.800,40.6427,-79.9377
216820,2022002571,2301,2301,2022,1,7,0,0,0,0,0,0,0,0,0,40 21:54.384,79 54:30.643,40.3651,-79.9085
216821,2022002574,2116,2116,2022,1,7,0,0,0,0,0,0,0,0,0,40 30:24.261,80 00:24.762,40.5067,-80.0069
216822,2022002579,2473,2473,2022,1,5,0,0,0,0,0,0,0,0,0,40 22:57.800,79 52:07.080,40.3827,-79.8686
216823,2022002584,2108,2108,2022,1,7,0,1,0,0,0,0,0,0,0,40 33:47.018,80 03:37.954,40.5631,-80.0605
216824,2022002614,2214,2214,2022,1,7,0,0,0,0,0,0,0,0,0,40 27:00.123,80 11:00.065,40.45,-80.1834
